Date,Season,Source,Acreage,Owner,clipped UA,clipped _1,SznEndDate,Year,UA
3/24/2014,7/1/2013 - 6/30/2014,Southern Illinois Prescribed Burn Association,5.1,Private,0,0,1/1/2014,2014,notUA
3/26/2014,7/1/2013 - 6/30/2014,Southern Illinois Prescribed Burn Association,10.3,Private,0,0,1/1/2014,2014,notUA
3/26/2014,7/1/2013 - 6/30/2014,Southern Illinois Prescribed Burn Association,3.4,Private,0,0,1/1/2014,2014,notUA
3/21/2014,7/1/2013 - 6/30/2014,Southern Illinois Prescribed Burn Association,6.5,Private,0,0,1/1/2014,2014,notUA
3/21/2014,7/1/2013 - 6/30/2014,Southern Illinois Prescribed Burn Association,4.9,Private,0,0,1/1/2014,2014,notUA
3/21/2014,7/1/2013 - 6/30/2014,Southern Illinois Prescribed Burn Association,3.1,Private,0,0,1/1/2014,2014,notUA
4/21/2014,7/1/2013 - 6/30/2014,Southern Illinois Prescribed Burn Association,81,Private,0,0,1/1/2014,2014,notUA
4/22/2012,7/1/2011 - 6/30/2012,Southern Illinois Prescribed Burn Association,4.1,Private,0,0,1/1/2012,2012,notUA
4/22/2012,7/1/2011 - 6/30/2012,Southern Illinois Prescribed Burn Association,4.7,Private,0,0,1/1/2012,2012,notUA
2/11/2015,7/1/2014 - 6/30/2015,Southern Illinois Prescribed Burn Association,45.6,Private,0,0,1/1/2015,2015,notUA
2/11/2015,7/1/2014 - 6/30/2015,Southern Illinois Prescribed Burn Association,90.8,Illinois Department of Natural Resources,0,0,1/1/2015,2015,notUA
3/23/2015,7/1/2014 - 6/30/2015,Southern Illinois Prescribed Burn Association,108.2,Illinois Department of Natural Resources,0,0,1/1/2015,2015,notUA
3/24/2015,7/1/2014 - 6/30/2015,Southern Illinois Prescribed Burn Association,173.2,Private,0,0,1/1/2015,2015,notUA
3/30/2015,7/1/2014 - 6/30/2015,Southern Illinois Prescribed Burn Association,9.3,Private,0,0,1/1/2015,2015,notUA
3/30/2015,7/1/2014 - 6/30/2015,Southern Illinois Prescribed Burn Association,5.5,Private,0,0,1/1/2015,2015,notUA
3/30/2015,7/1/2014 - 6/30/2015,Southern Illinois Prescribed Burn Association,12.6,Private,0,0,1/1/2015,2015,notUA
3/30/2015,7/1/2014 - 6/30/2015,Southern Illinois Prescribed Burn Association,8.9,Private,0,0,1/1/2015,2015,notUA
3/31/2015,7/1/2014 - 6/30/2015,Southern Illinois Prescribed Burn Association,46.7,Private,0,0,1/1/2015,2015,notUA
3/31/2015,7/1/2014 - 6/30/2015,Southern Illinois Prescribed Burn Association,32.3,Private,0,0,1/1/2015,2015,notUA
3/31/2015,7/1/2014 - 6/30/2015,Southern Illinois Prescribed Burn Association,19.3,Private,0,0,1/1/2015,2015,notUA
4/1/2015,7/1/2014 - 6/30/2015,Southern Illinois Prescribed Burn Association,150.6,Private,0,0,1/1/2015,2015,notUA
4/1/2015,7/1/2014 - 6/30/2015,Southern Illinois Prescribed Burn Association,8.4,Private,0,0,1/1/2015,2015,notUA
4/1/2015,7/1/2014 - 6/30/2015,Southern Illinois Prescribed Burn Association,7.7,Private,0,0,1/1/2015,2015,notUA
4/1/2015,7/1/2014 - 6/30/2015,Southern Illinois Prescribed Burn Association,7.9,Private,0,0,1/1/2015,2015,notUA
4/1/2015,7/1/2014 - 6/30/2015,Southern Illinois Prescribed Burn Association,1.9,Private,0,0,1/1/2015,2015,notUA
2/16/2015,7/1/2014 - 6/30/2015,Southern Illinois Prescribed Burn Association,31,Private,0,0,1/1/2015,2015,notUA
3/31/2015,7/1/2014 - 6/30/2015,Southern Illinois Prescribed Burn Association,19.7,Private,0,0,1/1/2015,2015,notUA
